Sample_ID,Geometry_ID,D_outer,Thickness,R_bending,Material_Type,E_modulus,Poisson_Ratio,Density_tonne_per_mm3,t_over_D,R_over_D,Region,Split
0,0,14.9,0.68,51.6,Base_TC4,110000.0,0.39,4.47e-09,0.04564,3.46309,C_mid_safe,test
1,1,18.9,1.08,84.6,Base_TC4,110000.0,0.39,4.47e-09,0.05714,4.47619,E_large_thick_weak,train
2,2,19.1,0.97,75.8,Base_TC4,110000.0,0.39,4.47e-09,0.05079,3.96859,D_large_mid_safe,train
3,3,13.4,1.01,47.5,Base_TC4,110000.0,0.39,4.47e-09,0.07537,3.54478,B_small_mid_moderate,train
4,4,6.8,0.93,21.4,Base_TC4,110000.0,0.39,4.47e-09,0.13676,3.14706,A_small_strong,train
5,5,14.2,0.81,62.5,Base_TC4,110000.0,0.39,4.47e-09,0.05704,4.40141,C_mid_safe,train
6,6,12.2,0.69,51.2,Base_TC4,110000.0,0.39,4.47e-09,0.05656,4.19672,B_small_mid_moderate,train
7,7,15.2,0.92,61.0,Base_TC4,110000.0,0.39,4.47e-09,0.06052631578947369,4.0131578947368425,C_mid_safe,train
8,8,17.2,0.92,61.8,Base_TC4,110000.0,0.39,4.47e-09,0.05349,3.59302,D_large_mid_safe,train
9,9,19.3,1.14,78.2,Base_TC4,110000.0,0.39,4.47e-09,0.05907,4.05181,E_large_thick_weak,train
10,10,19.1,1.1,79.1,Base_TC4,110000.0,0.39,4.47e-09,0.05759,4.14136,E_large_thick_weak,test
11,11,10.2,0.88,29.6,Base_TC4,110000.0,0.39,4.47e-09,0.08627,2.90196,B_small_mid_moderate,train
12,12,14.6,0.93,63.0,Base_TC4,110000.0,0.39,4.47e-09,0.0637,4.31507,C_mid_safe,train
13,13,16.0,0.91,58.4,Base_TC4,110000.0,0.39,4.47e-09,0.05688,3.65,C_mid_safe,val
14,14,9.9,0.75,37.8,Base_TC4,110000.0,0.39,4.47e-09,0.07576,3.81818,A_small_strong,train
15,15,15.7,0.94,65.6,Base_TC4,110000.0,0.39,4.47e-09,0.05987,4.17834,C_mid_safe,train
16,16,6.8,0.51,26.7,Base_TC4,110000.0,0.39,4.47e-09,0.075,3.92647,A_small_strong,test
17,17,7.5,0.63,28.7,Base_TC4,110000.0,0.39,4.47e-09,0.084,3.82667,A_small_strong,train
18,18,16.3,1.19,65.3,Base_TC4,110000.0,0.39,4.47e-09,0.07301,4.00613,E_large_thick_weak,train
19,19,13.1,0.82,43.2,Base_TC4,110000.0,0.39,4.47e-09,0.0626,3.29771,B_small_mid_moderate,train
20,20,18.4,0.87,71.0,Base_TC4,110000.0,0.39,4.47e-09,0.04728,3.8587,D_large_mid_safe,test
21,21,8.6,0.59,21.4,Base_TC4,110000.0,0.39,4.47e-09,0.0686,2.48837,A_small_strong,train
