source_sample_id,mesh_size_mm,delta_mean_free_mm,ratio_mean_free,delta_final_free_mm,ratio_final_free,delta_max_free_mm
4,0.8,0.06297070533037186,2.6901994734090784,0.1375117488205433,3.5786800686483176,0.48014363646507263
4,1.25,0.062457405030727386,2.6764219574735635,0.11019827798008919,3.066485994571035,0.20027419924736023
3,0.8,0.09300593100488186,4.044069471985815,0.16254867613315582,3.7481035781036613,0.7429423332214355
3,1.25,0.10483645461499691,4.431280646263167,0.19185219705104828,4.243518936759233,0.35233062505722046
139,0.8,0.09354108944535255,4.525305308439268,0.16746940091252327,3.9911734061466113,0.4270070791244507
139,1.25,0.09948961809277534,4.749488923816269,0.19221306219696999,4.433120300334145,0.6308856010437012
15,0.8,0.13031341321766376,5.649738171980444,0.22687732055783272,4.847763328937081,0.25587475299835205
15,1.25,0.13355671055614948,5.765462893369259,0.29555149748921394,6.012454356633471,0.8579643368721008
128,0.8,0.19956053793430328,6.16649801573141,0.33262259513139725,4.538241935441687,4.251664757728577
128,1.25,0.15347090363502502,4.973266094140785,0.2900127246975899,4.084983399673613,1.984639048576355
