timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 14:01:33.265, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:34.269, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:35.270, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:36.270, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:37.270, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:38.271, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:39.271, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:40.271, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:01:41.271, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:42.272, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:43.272, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:44.272, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:45.273, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:46.273, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:47.273, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:48.273, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:49.274, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:50.274, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:01:51.274, 0, 0 %, 513 MiB, 32607 MiB
2026/09/11 14:01:52.275, 0, 0 %, 531 MiB, 32607 MiB
2026/09/11 14:01:53.275, 0, 0 %, 531 MiB, 32607 MiB
2026/09/11 14:01:54.275, 0, 0 %, 531 MiB, 32607 MiB
2026/09/11 14:01:55.276, 0, 1 %, 3065 MiB, 32607 MiB
2026/09/11 14:01:56.276, 0, 86 %, 3591 MiB, 32607 MiB
2026/09/11 14:01:57.276, 0, 86 %, 3591 MiB, 32607 MiB
