timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 16:41:05.606, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:06.609, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:07.610, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:08.611, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:09.611, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:10.612, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:11.612, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:12.613, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:13.613, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:14.614, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:15.615, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:16.616, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:17.616, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:18.617, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:19.617, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:20.618, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:21.618, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:22.619, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:23.619, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:24.620, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:25.621, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:26.621, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:27.622, 0, 0 %, 20 MiB, 24564 MiB
2026/09/11 16:41:28.623, 0, 0 %, 483 MiB, 24564 MiB
2026/09/11 16:41:29.624, 0, 0 %, 2031 MiB, 24564 MiB
2026/09/11 16:41:30.625, 0, 80 %, 2033 MiB, 24564 MiB
2026/09/11 16:41:31.625, 0, 81 %, 2033 MiB, 24564 MiB
2026/09/11 16:41:32.626, 0, 79 %, 2033 MiB, 24564 MiB
2026/09/11 16:41:33.626, 0, 79 %, 2033 MiB, 24564 MiB
2026/09/11 16:41:34.627, 0, 78 %, 567 MiB, 24564 MiB
2026/09/11 16:41:35.628, 0, 0 %, 567 MiB, 24564 MiB
2026/09/11 16:41:36.628, 0, 0 %, 1093 MiB, 24564 MiB
2026/09/11 16:41:37.629, 0, 57 %, 1113 MiB, 24564 MiB
2026/09/11 16:41:38.630, 0, 57 %, 1113 MiB, 24564 MiB
2026/09/11 16:41:39.630, 0, 57 %, 811 MiB, 24564 MiB
2026/09/11 16:41:40.631, 0, 38 %, 833 MiB, 24564 MiB
2026/09/11 16:41:41.632, 0, 37 %, 833 MiB, 24564 MiB
2026/09/11 16:41:42.632, 0, 0 %, 567 MiB, 24564 MiB
2026/09/11 16:41:43.633, 0, 95 %, 6077 MiB, 24564 MiB
2026/09/11 16:41:44.633, 0, 96 %, 6077 MiB, 24564 MiB
2026/09/11 16:41:45.634, 0, 93 %, 6077 MiB, 24564 MiB
2026/09/11 16:41:46.635, 0, 96 %, 6077 MiB, 24564 MiB
2026/09/11 16:41:47.636, 0, 96 %, 6077 MiB, 24564 MiB
2026/09/11 16:41:48.636, 0, 96 %, 6077 MiB, 24564 MiB
