timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 18:07:06.716, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 18:07:07.719, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 18:07:08.728, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:09.729, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:10.730, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:11.730, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:12.731, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:13.732, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:14.733, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:15.734, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:16.734, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:17.735, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:18.736, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:19.737, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:20.738, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:21.740, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:22.740, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:23.741, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:24.742, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:25.743, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:26.744, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 18:07:27.745, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:28.745, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:29.746, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:30.747, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:31.748, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:32.749, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:33.750, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:34.751, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:35.752, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:36.752, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:37.753, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:38.754, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:39.755, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:40.756, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:41.757, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:42.758, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:43.759, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:44.759, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:45.760, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:46.761, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:47.761, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:48.763, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:49.763, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:50.764, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:51.765, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:52.766, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:53.767, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:54.768, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:55.769, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:56.769, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:57.770, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:58.771, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:07:59.772, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:00.773, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:01.773, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:02.774, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:03.774, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:04.775, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:05.776, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:06.777, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:07.778, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:08.778, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:09.779, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:10.780, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:11.781, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:12.782, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:13.783, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:14.783, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:15.784, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:16.785, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:17.786, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:18.787, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:19.787, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:20.788, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:21.789, 0, 0 %, 397 MiB, 24564 MiB
2026/09/11 18:08:22.790, 0, 0 %, 397 MiB, 24564 MiB
