timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 16:35:11.887, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:12.891, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:13.891, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:14.892, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:15.892, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:16.893, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:17.893, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:18.894, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:35:19.895, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:20.895, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:21.896, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:22.896, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:23.897, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:24.897, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:25.898, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:26.898, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:27.899, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:28.900, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:29.900, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:30.901, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:31.901, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:32.902, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:33.902, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:34.903, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:35.904, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:36.904, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:35:37.905, 0, 0 %, 20 MiB, 24564 MiB
2026/09/11 16:35:38.906, 0, 0 %, 419 MiB, 24564 MiB
2026/09/11 16:35:39.907, 0, 2 %, 555 MiB, 24564 MiB
2026/09/11 16:35:40.907, 0, 29 %, 973 MiB, 24564 MiB
2026/09/11 16:35:41.908, 0, 51 %, 973 MiB, 24564 MiB
2026/09/11 16:35:42.908, 0, 47 %, 973 MiB, 24564 MiB
2026/09/11 16:35:43.909, 0, 59 %, 1093 MiB, 24564 MiB
2026/09/11 16:35:44.910, 0, 55 %, 1093 MiB, 24564 MiB
2026/09/11 16:35:45.910, 0, 53 %, 1093 MiB, 24564 MiB
2026/09/11 16:35:46.911, 0, 0 %, 565 MiB, 24564 MiB
2026/09/11 16:35:47.911, 0, 0 %, 5061 MiB, 24564 MiB
2026/09/11 16:35:48.912, 0, 91 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:49.913, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:50.913, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:51.914, 0, 94 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:52.914, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:53.915, 0, 96 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:54.915, 0, 96 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:55.916, 0, 92 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:56.917, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:57.917, 0, 92 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:58.918, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:35:59.918, 0, 91 %, 5101 MiB, 24564 MiB
2026/09/11 16:36:00.919, 0, 95 %, 5101 MiB, 24564 MiB
2026/09/11 16:36:01.920, 0, 0 %, 5101 MiB, 24564 MiB
2026/09/11 16:36:02.921, 0, 0 %, 565 MiB, 24564 MiB
