timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/03 18:26:16.861, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 18:26:17.866, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 18:26:18.868, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:19.870, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:20.872, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:21.874, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:22.877, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:23.879, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:24.881, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:25.883, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:26.885, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:27.887, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:28.889, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:29.891, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:30.893, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:31.895, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:32.897, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:33.899, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:34.901, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:35.903, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:36.905, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:37.907, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:38.909, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:39.911, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:40.913, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:41.916, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:42.918, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:43.920, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:44.923, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:45.925, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:46.927, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:47.929, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:48.932, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:49.934, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:50.936, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:51.937, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:52.940, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:53.942, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:54.944, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:55.946, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:56.948, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:57.950, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:58.952, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:26:59.954, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:00.956, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:01.958, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:02.960, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:03.962, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:04.964, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:05.967, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 18:27:06.969, 0, 0 %, 726 MiB, 32607 MiB
2026/09/03 18:27:07.971, 0, 34 %, 728 MiB, 32607 MiB
2026/09/03 18:27:08.973, 0, 0 %, 728 MiB, 32607 MiB
2026/09/03 18:27:09.975, 0, 0 %, 728 MiB, 32607 MiB
2026/09/03 18:27:10.978, 0, 0 %, 728 MiB, 32607 MiB
2026/09/03 18:27:12.011, 0, 0 %, 728 MiB, 32607 MiB
2026/09/03 18:27:13.013, 0, 0 %, 728 MiB, 32607 MiB
2026/09/03 18:27:14.015, 0, 0 %, 728 MiB, 32607 MiB
