timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/03 19:41:40.736, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:41.743, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:42.744, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:43.744, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:44.744, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:45.745, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:46.745, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:47.745, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:48.745, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:49.746, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:50.746, 0, 0 %, 0 MiB, 32607 MiB
2026/09/03 19:41:51.746, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:52.747, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:53.747, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:54.747, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:55.748, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:56.748, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:57.748, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:58.749, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:41:59.749, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:42:00.749, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:42:01.750, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:42:02.750, 0, 0 %, 3 MiB, 32607 MiB
2026/09/03 19:42:03.750, 0, 0 %, 513 MiB, 32607 MiB
2026/09/03 19:42:04.751, 0, 0 %, 513 MiB, 32607 MiB
2026/09/03 19:42:05.751, 0, 0 %, 633 MiB, 32607 MiB
2026/09/03 19:42:06.751, 0, 8 %, 6423 MiB, 32607 MiB
2026/09/03 19:42:07.752, 0, 0 %, 6435 MiB, 32607 MiB
