timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/03 19:19:20.159, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:21.165, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:22.167, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:23.170, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:24.172, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:25.178, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:26.180, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:27.182, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:28.185, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:29.219, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:30.220, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:31.222, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:32.223, 0, 0 %, 1 MiB, 32607 MiB
2026/09/03 19:19:33.225, 0, 0 %, 4 MiB, 32607 MiB
2026/09/03 19:19:34.228, 0, 2 %, 714 MiB, 32607 MiB
2026/09/03 19:19:35.229, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:19:36.231, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:19:37.232, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:38.234, 0, 0 %, 740 MiB, 32607 MiB
2026/09/03 19:19:39.235, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:40.237, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:41.239, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:42.241, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:43.243, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:19:44.245, 0, 0 %, 960 MiB, 32607 MiB
2026/09/03 19:19:45.247, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:46.249, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:47.250, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:48.252, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:49.254, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:50.257, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:51.259, 0, 0 %, 754 MiB, 32607 MiB
2026/09/03 19:19:52.261, 0, 0 %, 754 MiB, 32607 MiB
2026/09/03 19:19:53.263, 0, 0 %, 754 MiB, 32607 MiB
2026/09/03 19:19:54.265, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:55.267, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:56.269, 0, 0 %, 674 MiB, 32607 MiB
2026/09/03 19:19:57.271, 0, 0 %, 654 MiB, 32607 MiB
2026/09/03 19:19:58.274, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:19:59.276, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:00.278, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:01.281, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:02.283, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:03.285, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:04.287, 0, 0 %, 1490 MiB, 32607 MiB
2026/09/03 19:20:05.289, 0, 0 %, 774 MiB, 32607 MiB
2026/09/03 19:20:06.292, 0, 0 %, 774 MiB, 32607 MiB
2026/09/03 19:20:07.294, 0, 0 %, 838 MiB, 32607 MiB
2026/09/03 19:20:08.296, 0, 0 %, 688 MiB, 32607 MiB
2026/09/03 19:20:09.299, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:10.301, 0, 0 %, 614 MiB, 32607 MiB
2026/09/03 19:20:11.303, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:20:12.305, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:20:13.307, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:20:14.309, 0, 0 %, 634 MiB, 32607 MiB
2026/09/03 19:20:15.312, 0, 0 %, 884 MiB, 32607 MiB
2026/09/03 19:20:16.314, 0, 0 %, 654 MiB, 32607 MiB
