timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 18:55:28.113, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 18:55:28.116, 1, 0 %, 0 MiB, 32607 MiB
2026/09/11 18:55:28.120, 2, 0 %, 0 MiB, 32607 MiB
2026/09/11 18:55:28.123, 3, 0 %, 0 MiB, 32607 MiB
2026/09/11 18:55:33.126, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 18:55:33.136, 1, 0 %, 3 MiB, 32607 MiB
2026/09/11 18:55:33.145, 2, 0 %, 3 MiB, 32607 MiB
2026/09/11 18:55:33.164, 3, 0 %, 3 MiB, 32607 MiB
2026/09/11 18:55:38.168, 0, 90 %, 3879 MiB, 32607 MiB
2026/09/11 18:55:38.168, 1, 38 %, 3385 MiB, 32607 MiB
2026/09/11 18:55:38.168, 2, 93 %, 4103 MiB, 32607 MiB
2026/09/11 18:55:38.168, 3, 89 %, 3741 MiB, 32607 MiB
2026/09/11 18:55:43.169, 0, 100 %, 4139 MiB, 32607 MiB
2026/09/11 18:55:43.169, 1, 19 %, 4505 MiB, 32607 MiB
2026/09/11 18:55:43.170, 2, 0 %, 4487 MiB, 32607 MiB
2026/09/11 18:55:43.170, 3, 94 %, 4187 MiB, 32607 MiB
2026/09/11 18:55:48.170, 0, 91 %, 4459 MiB, 32607 MiB
2026/09/11 18:55:48.171, 1, 92 %, 4505 MiB, 32607 MiB
2026/09/11 18:55:48.171, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:55:48.171, 3, 31 %, 4507 MiB, 32607 MiB
2026/09/11 18:55:53.172, 0, 80 %, 4539 MiB, 32607 MiB
2026/09/11 18:55:53.172, 1, 0 %, 4505 MiB, 32607 MiB
2026/09/11 18:55:53.172, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:55:53.172, 3, 84 %, 4507 MiB, 32607 MiB
2026/09/11 18:55:58.173, 0, 100 %, 4545 MiB, 32607 MiB
2026/09/11 18:55:58.173, 1, 100 %, 4505 MiB, 32607 MiB
2026/09/11 18:55:58.173, 2, 0 %, 4567 MiB, 32607 MiB
2026/09/11 18:55:58.174, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:03.174, 0, 90 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:03.174, 1, 51 %, 4505 MiB, 32607 MiB
2026/09/11 18:56:03.175, 2, 83 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:03.175, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:08.175, 0, 100 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:08.176, 1, 100 %, 4505 MiB, 32607 MiB
2026/09/11 18:56:08.176, 2, 0 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:08.176, 3, 31 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:13.176, 0, 49 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:13.177, 1, 76 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:13.177, 2, 84 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:13.177, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:18.178, 0, 94 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:18.178, 1, 77 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:18.178, 2, 84 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:18.178, 3, 7 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:23.179, 0, 100 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:23.179, 1, 85 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:23.179, 2, 6 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:23.179, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:28.180, 0, 85 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:28.180, 1, 92 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:28.180, 2, 91 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:28.181, 3, 0 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:33.181, 0, 95 %, 4545 MiB, 32607 MiB
2026/09/11 18:56:33.181, 1, 95 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:33.182, 2, 35 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:33.182, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:38.182, 0, 12 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:38.182, 1, 100 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:38.183, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:38.183, 3, 76 %, 4507 MiB, 32607 MiB
2026/09/11 18:56:43.183, 0, 0 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:43.184, 1, 96 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:43.184, 2, 39 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:43.184, 3, 88 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:48.184, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:48.185, 1, 45 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:48.185, 2, 72 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:48.185, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:53.186, 0, 0 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:53.186, 1, 89 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:53.186, 2, 90 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:53.187, 3, 89 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:58.187, 0, 14 %, 4547 MiB, 32607 MiB
2026/09/11 18:56:58.187, 1, 49 %, 4565 MiB, 32607 MiB
2026/09/11 18:56:58.188, 2, 84 %, 4567 MiB, 32607 MiB
2026/09/11 18:56:58.188, 3, 94 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:03.188, 0, 32 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:03.189, 1, 100 %, 4565 MiB, 32607 MiB
2026/09/11 18:57:03.189, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:03.189, 3, 74 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:08.190, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:08.190, 1, 56 %, 4565 MiB, 32607 MiB
2026/09/11 18:57:08.190, 2, 94 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:08.190, 3, 38 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:13.191, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:13.191, 1, 70 %, 4565 MiB, 32607 MiB
2026/09/11 18:57:13.191, 2, 22 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:13.191, 3, 81 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:18.192, 0, 91 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:18.192, 1, 100 %, 4565 MiB, 32607 MiB
2026/09/11 18:57:18.192, 2, 1 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:18.193, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:23.193, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:23.193, 1, 100 %, 4565 MiB, 32607 MiB
2026/09/11 18:57:23.194, 2, 99 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:23.194, 3, 7 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:28.194, 0, 89 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:28.195, 1, 6 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:28.195, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:28.195, 3, 55 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:33.196, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:33.196, 1, 0 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:33.196, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:33.197, 3, 90 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:38.197, 0, 88 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:38.197, 1, 0 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:38.198, 2, 54 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:38.198, 3, 95 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:43.198, 0, 59 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:43.202, 1, 0 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:43.202, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:43.202, 3, 93 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:48.203, 0, 28 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:48.203, 1, 98 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:48.203, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:48.203, 3, 95 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:53.204, 0, 90 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:53.204, 1, 82 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:53.204, 2, 21 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:53.205, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:58.205, 0, 93 %, 4547 MiB, 32607 MiB
2026/09/11 18:57:58.205, 1, 25 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:58.206, 2, 88 %, 4567 MiB, 32607 MiB
2026/09/11 18:57:58.206, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:03.206, 0, 76 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:03.207, 1, 70 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:03.207, 2, 59 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:03.207, 3, 67 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:08.208, 0, 77 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:08.208, 1, 63 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:08.208, 2, 79 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:08.208, 3, 80 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:13.209, 0, 77 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:13.209, 1, 66 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:13.209, 2, 57 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:13.210, 3, 76 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:18.210, 0, 77 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:18.210, 1, 77 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:18.211, 2, 68 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:18.211, 3, 81 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:23.211, 0, 70 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:23.212, 1, 59 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:23.212, 2, 76 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:23.212, 3, 78 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:28.213, 0, 74 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:28.213, 1, 73 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:28.213, 2, 66 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:28.213, 3, 69 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:33.214, 0, 80 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:33.214, 1, 62 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:33.214, 2, 60 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:33.215, 3, 77 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:38.215, 0, 0 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:38.215, 1, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:38.216, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:38.216, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:43.216, 0, 72 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:43.217, 1, 64 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:43.217, 2, 74 %, 4567 MiB, 32607 MiB
2026/09/11 18:58:43.217, 3, 76 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:48.218, 0, 66 %, 4547 MiB, 32607 MiB
2026/09/11 18:58:48.218, 1, 62 %, 4567 MiB, 32607 MiB
