timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/14 18:02:25.281, 0, 0 %, 1 MiB, 32607 MiB
2026/09/14 18:02:25.286, 1, 0 %, 1 MiB, 32607 MiB
2026/09/14 18:02:25.290, 2, 0 %, 1 MiB, 32607 MiB
2026/09/14 18:02:25.294, 3, 0 %, 1 MiB, 32607 MiB
2026/09/14 18:02:30.298, 0, 0 %, 4 MiB, 32607 MiB
2026/09/14 18:02:30.303, 1, 0 %, 4 MiB, 32607 MiB
2026/09/14 18:02:30.324, 2, 0 %, 4 MiB, 32607 MiB
2026/09/14 18:02:30.349, 3, 0 %, 4 MiB, 32607 MiB
2026/09/14 18:02:35.367, 0, 85 %, 4480 MiB, 32607 MiB
2026/09/14 18:02:35.369, 1, 83 %, 4506 MiB, 32607 MiB
2026/09/14 18:02:35.370, 2, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:35.371, 3, 85 %, 4508 MiB, 32607 MiB
2026/09/14 18:02:40.372, 0, 82 %, 4546 MiB, 32607 MiB
2026/09/14 18:02:40.374, 1, 80 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:40.375, 2, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:40.377, 3, 88 %, 4508 MiB, 32607 MiB
2026/09/14 18:02:45.378, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:02:45.379, 1, 76 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:45.380, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:45.381, 3, 86 %, 4508 MiB, 32607 MiB
2026/09/14 18:02:50.382, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:02:50.384, 1, 83 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:50.386, 2, 83 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:50.386, 3, 86 %, 4548 MiB, 32607 MiB
2026/09/14 18:02:55.388, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:02:55.390, 1, 86 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:55.392, 2, 82 %, 4568 MiB, 32607 MiB
2026/09/14 18:02:55.393, 3, 79 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:00.395, 0, 81 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:00.397, 1, 73 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:00.398, 2, 68 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:00.400, 3, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:05.402, 0, 80 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:05.404, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:05.405, 2, 76 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:05.406, 3, 81 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:10.407, 0, 83 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:10.410, 1, 86 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:10.412, 2, 82 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:10.414, 3, 84 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:15.414, 0, 86 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:15.416, 1, 82 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:15.417, 2, 78 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:15.418, 3, 87 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:20.419, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:20.420, 1, 88 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:20.421, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:20.422, 3, 86 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:25.423, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:25.424, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:25.426, 2, 78 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:25.427, 3, 77 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:30.428, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:30.429, 1, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:30.431, 2, 91 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:30.432, 3, 84 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:35.433, 0, 83 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:35.436, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:35.437, 2, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:35.438, 3, 83 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:40.440, 0, 87 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:40.442, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:40.443, 2, 83 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:40.444, 3, 87 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:45.446, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:45.448, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:45.449, 2, 80 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:45.449, 3, 84 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:50.450, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:50.452, 1, 82 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:50.455, 2, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:50.456, 3, 86 %, 4550 MiB, 32607 MiB
2026/09/14 18:03:55.459, 0, 86 %, 4548 MiB, 32607 MiB
2026/09/14 18:03:55.461, 1, 80 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:55.462, 2, 83 %, 4568 MiB, 32607 MiB
2026/09/14 18:03:55.462, 3, 79 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:00.463, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:00.465, 1, 89 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:00.468, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:00.469, 3, 83 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:05.470, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:05.473, 1, 79 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:05.475, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:05.477, 3, 89 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:10.479, 0, 81 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:10.481, 1, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:10.482, 2, 87 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:10.484, 3, 87 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:15.485, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:15.486, 1, 79 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:15.488, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:15.489, 3, 86 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:20.491, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:20.493, 1, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:20.494, 2, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:20.495, 3, 85 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:25.496, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:25.498, 1, 86 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:25.500, 2, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:25.502, 3, 81 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:30.503, 0, 82 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:30.506, 1, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:30.508, 2, 80 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:30.510, 3, 83 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:35.512, 0, 85 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:35.515, 1, 76 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:35.516, 2, 84 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:35.517, 3, 86 %, 4550 MiB, 32607 MiB
2026/09/14 18:04:40.519, 0, 84 %, 4548 MiB, 32607 MiB
2026/09/14 18:04:40.521, 1, 85 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:40.524, 2, 87 %, 4568 MiB, 32607 MiB
2026/09/14 18:04:40.525, 3, 83 %, 4550 MiB, 32607 MiB
