timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/14 16:56:40.966, 0, 0 %, 1 MiB, 32607 MiB
2026/09/14 16:56:40.972, 1, 0 %, 1 MiB, 32607 MiB
2026/09/14 16:56:40.976, 2, 0 %, 1 MiB, 32607 MiB
2026/09/14 16:56:40.980, 3, 0 %, 1 MiB, 32607 MiB
2026/09/14 16:56:45.985, 0, 0 %, 4 MiB, 32607 MiB
2026/09/14 16:56:45.998, 1, 0 %, 4 MiB, 32607 MiB
2026/09/14 16:56:46.018, 2, 0 %, 4 MiB, 32607 MiB
2026/09/14 16:56:46.037, 3, 0 %, 4 MiB, 32607 MiB
2026/09/14 16:56:51.062, 0, 100 %, 3128 MiB, 32607 MiB
2026/09/14 16:56:51.065, 1, 0 %, 2708 MiB, 32607 MiB
2026/09/14 16:56:51.066, 2, 0 %, 2446 MiB, 32607 MiB
2026/09/14 16:56:51.068, 3, 0 %, 962 MiB, 32607 MiB
2026/09/14 16:56:56.070, 0, 100 %, 4000 MiB, 32607 MiB
2026/09/14 16:56:56.073, 1, 96 %, 4348 MiB, 32607 MiB
2026/09/14 16:56:56.074, 2, 0 %, 4486 MiB, 32607 MiB
2026/09/14 16:56:56.076, 3, 100 %, 4180 MiB, 32607 MiB
2026/09/14 16:57:01.079, 0, 90 %, 4460 MiB, 32607 MiB
2026/09/14 16:57:01.081, 1, 24 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:01.083, 2, 61 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:01.084, 3, 100 %, 4486 MiB, 32607 MiB
2026/09/14 16:57:06.086, 0, 100 %, 4540 MiB, 32607 MiB
2026/09/14 16:57:06.088, 1, 0 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:06.089, 2, 100 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:06.091, 3, 100 %, 4506 MiB, 32607 MiB
2026/09/14 16:57:11.093, 0, 92 %, 4540 MiB, 32607 MiB
2026/09/14 16:57:11.095, 1, 0 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:11.097, 2, 100 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:11.099, 3, 94 %, 4506 MiB, 32607 MiB
2026/09/14 16:57:16.101, 0, 100 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:16.102, 1, 13 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:16.103, 2, 100 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:16.104, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:21.105, 0, 100 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:21.107, 1, 96 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:21.109, 2, 92 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:21.110, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:26.112, 0, 90 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:26.113, 1, 68 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:26.114, 2, 55 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:26.115, 3, 97 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:31.116, 0, 0 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:31.118, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:31.120, 2, 94 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:31.121, 3, 74 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:36.123, 0, 100 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:36.125, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:36.127, 2, 54 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:36.128, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:41.130, 0, 94 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:41.132, 1, 38 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:41.133, 2, 99 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:41.134, 3, 6 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:46.136, 0, 49 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:46.138, 1, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:46.140, 2, 100 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:46.140, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:51.142, 0, 90 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:51.144, 1, 91 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:51.145, 2, 100 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:51.146, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:57:56.146, 0, 100 %, 4546 MiB, 32607 MiB
2026/09/14 16:57:56.148, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:57:56.149, 2, 96 %, 4566 MiB, 32607 MiB
2026/09/14 16:57:56.150, 3, 96 %, 4508 MiB, 32607 MiB
2026/09/14 16:58:01.152, 0, 76 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:01.153, 1, 55 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:01.154, 2, 7 %, 4566 MiB, 32607 MiB
2026/09/14 16:58:01.155, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:58:06.156, 0, 100 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:06.158, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:06.160, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:06.162, 3, 100 %, 4508 MiB, 32607 MiB
2026/09/14 16:58:11.164, 0, 35 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:11.166, 1, 95 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:11.167, 2, 25 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:11.169, 3, 27 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:16.171, 0, 96 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:16.173, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:16.176, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:16.177, 3, 0 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:21.178, 0, 87 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:21.180, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:21.180, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:21.181, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:26.183, 0, 0 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:26.185, 1, 94 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:26.186, 2, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:26.186, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:31.187, 0, 30 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:31.189, 1, 90 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:31.192, 2, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:31.193, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:36.195, 0, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:36.197, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:36.198, 2, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:36.200, 3, 92 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:41.202, 0, 90 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:41.204, 1, 23 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:41.205, 2, 92 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:41.206, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:46.206, 0, 41 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:46.208, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:46.210, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:46.212, 3, 91 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:51.213, 0, 100 %, 4548 MiB, 32607 MiB
