timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 20:02:12.315, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 20:02:12.318, 1, 0 %, 0 MiB, 32607 MiB
2026/09/11 20:02:12.322, 2, 0 %, 0 MiB, 32607 MiB
2026/09/11 20:02:12.325, 3, 0 %, 0 MiB, 32607 MiB
2026/09/11 20:02:17.328, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 20:02:17.333, 1, 0 %, 3 MiB, 32607 MiB
2026/09/11 20:02:17.358, 2, 0 %, 3 MiB, 32607 MiB
2026/09/11 20:02:17.359, 3, 0 %, 3 MiB, 32607 MiB
2026/09/11 20:02:22.363, 0, 73 %, 3879 MiB, 32607 MiB
2026/09/11 20:02:22.364, 1, 81 %, 3987 MiB, 32607 MiB
2026/09/11 20:02:22.364, 2, 0 %, 4113 MiB, 32607 MiB
2026/09/11 20:02:22.364, 3, 83 %, 3739 MiB, 32607 MiB
2026/09/11 20:02:27.365, 0, 88 %, 4459 MiB, 32607 MiB
2026/09/11 20:02:27.365, 1, 100 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:27.365, 2, 24 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:27.365, 3, 79 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:32.366, 0, 100 %, 4539 MiB, 32607 MiB
2026/09/11 20:02:32.366, 1, 100 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:32.366, 2, 72 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:32.367, 3, 31 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:37.367, 0, 24 %, 4545 MiB, 32607 MiB
2026/09/11 20:02:37.367, 1, 100 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:37.368, 2, 68 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:37.368, 3, 83 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:42.368, 0, 1 %, 4545 MiB, 32607 MiB
2026/09/11 20:02:42.369, 1, 91 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:42.369, 2, 93 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:42.369, 3, 10 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:47.370, 0, 42 %, 4545 MiB, 32607 MiB
2026/09/11 20:02:47.370, 1, 84 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:47.370, 2, 0 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:47.370, 3, 12 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:52.371, 0, 96 %, 4545 MiB, 32607 MiB
2026/09/11 20:02:52.371, 1, 93 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:52.371, 2, 93 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:52.372, 3, 0 %, 4507 MiB, 32607 MiB
2026/09/11 20:02:57.372, 0, 0 %, 4547 MiB, 32607 MiB
2026/09/11 20:02:57.373, 1, 72 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:57.373, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:02:57.373, 3, 91 %, 4507 MiB, 32607 MiB
2026/09/11 20:03:02.373, 0, 46 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:02.374, 1, 0 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:02.374, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:02.374, 3, 100 %, 4507 MiB, 32607 MiB
2026/09/11 20:03:07.374, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:07.375, 1, 86 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:07.375, 2, 96 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:07.375, 3, 25 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:12.376, 0, 80 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:12.376, 1, 95 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:12.376, 2, 91 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:12.377, 3, 92 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:17.377, 0, 72 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:17.377, 1, 94 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:17.378, 2, 88 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:17.378, 3, 36 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:22.378, 0, 95 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:22.379, 1, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:22.379, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:22.379, 3, 90 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:27.380, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:27.380, 1, 36 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:27.380, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:27.380, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:32.384, 0, 91 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:32.385, 1, 38 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:32.385, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:32.385, 3, 59 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:37.385, 0, 86 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:37.386, 1, 91 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:37.386, 2, 83 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:37.386, 3, 76 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:42.387, 0, 44 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:42.387, 1, 27 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:42.387, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:42.387, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:47.388, 0, 50 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:47.388, 1, 45 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:47.388, 2, 45 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:47.389, 3, 84 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:52.389, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:52.389, 1, 89 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:52.390, 2, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:52.390, 3, 14 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:57.390, 0, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:03:57.391, 1, 100 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:57.391, 2, 73 %, 4567 MiB, 32607 MiB
2026/09/11 20:03:57.391, 3, 17 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:02.391, 0, 0 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:02.392, 1, 85 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:02.392, 2, 22 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:02.392, 3, 100 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:07.393, 0, 80 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:07.393, 1, 62 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:07.393, 2, 74 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:07.393, 3, 74 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:12.394, 0, 78 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:12.394, 1, 84 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:12.394, 2, 81 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:12.394, 3, 74 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:17.395, 0, 76 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:17.395, 1, 72 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:17.396, 2, 70 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:17.396, 3, 69 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:22.396, 0, 72 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:22.397, 1, 76 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:22.397, 2, 52 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:22.397, 3, 76 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:27.398, 0, 81 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:27.398, 1, 69 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:27.398, 2, 77 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:27.399, 3, 75 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:32.399, 0, 82 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:32.399, 1, 75 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:32.400, 2, 62 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:32.400, 3, 71 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:37.400, 0, 76 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:37.401, 1, 78 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:37.401, 2, 78 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:37.401, 3, 83 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:42.401, 0, 72 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:42.402, 1, 70 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:42.402, 2, 71 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:42.402, 3, 74 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:47.403, 0, 74 %, 4547 MiB, 32607 MiB
2026/09/11 20:04:47.403, 1, 66 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:47.403, 2, 78 %, 4567 MiB, 32607 MiB
2026/09/11 20:04:47.403, 3, 65 %, 4549 MiB, 32607 MiB
