timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 14:33:12.765, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:17.771, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:22.774, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:27.775, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:32.777, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:37.780, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:42.782, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:47.785, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:52.787, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:33:57.790, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:02.792, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:07.794, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:12.797, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:17.800, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:22.802, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:27.804, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:32.806, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:37.808, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:42.810, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:47.813, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:52.814, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:34:57.817, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:02.819, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:07.827, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:12.830, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:17.833, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:22.835, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:27.838, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:32.843, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:37.845, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:42.846, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:47.849, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:52.850, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:35:57.853, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:02.855, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:07.858, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:12.860, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:17.863, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:22.865, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:36:27.867, 0, 0 %, 1 MiB, 32607 MiB
