timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 18:59:13.008, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:18.013, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:23.016, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:28.018, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:33.020, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:38.023, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:43.025, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:48.028, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:53.030, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 18:59:58.032, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:03.035, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:08.037, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:13.039, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:18.042, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:23.044, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:28.046, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:33.049, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:38.052, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:43.054, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:48.056, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:53.059, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:00:58.061, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:03.064, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:08.066, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:13.068, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:18.071, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:23.073, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:28.076, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:33.078, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:38.081, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:43.083, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:48.085, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:53.088, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:01:58.092, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:03.095, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:08.097, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:13.100, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:18.102, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:23.105, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:28.107, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:33.110, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:38.113, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:43.115, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:48.117, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:53.120, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:02:58.122, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:03.125, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:08.127, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:13.130, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:18.133, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:23.135, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:28.138, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:33.141, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:38.144, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:43.146, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:48.149, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:53.151, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:03:58.154, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:03.157, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:08.159, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:13.162, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:18.165, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:23.167, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:28.170, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:33.172, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:38.175, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:43.177, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:48.179, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:53.182, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:04:58.185, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:03.187, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:08.190, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:13.193, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:18.195, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:23.198, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:28.200, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:33.203, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:38.205, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:43.207, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:48.209, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:53.212, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:05:58.213, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:03.215, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:08.218, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:13.220, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:18.223, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:23.226, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:28.228, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:33.231, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:38.234, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:43.236, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:48.238, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:53.241, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:06:58.243, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:03.246, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:08.248, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:13.251, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:18.253, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:23.256, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:28.258, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:33.261, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:38.264, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:43.266, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:48.268, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:53.271, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 19:07:58.273, 0, 0 %, 1 MiB, 32607 MiB
