timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/15 21:56:53.982, 0, 0 %, 0 MiB, 24564 MiB
2026/09/15 21:56:58.987, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:03.988, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:08.998, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:13.999, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:19.001, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:24.002, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:29.003, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:34.004, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:39.004, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:44.005, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:49.007, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:54.008, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:57:59.009, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:04.010, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:09.012, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:14.013, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:19.014, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:24.015, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:29.016, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:34.017, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:39.018, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:44.020, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:49.021, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:54.022, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:58:59.023, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:59:04.024, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:59:09.025, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:59:14.026, 0, 0 %, 419 MiB, 24564 MiB
2026/09/15 21:59:19.027, 0, 0 %, 419 MiB, 24564 MiB
